Game,like,date,comment,good
GTA5,1,2022-07-17, 너 이게 무슨 뜻이야 너는 지난번에 천안문도 잊지 않고 민주주의도 반드시 되찾겠다고 말했잖아 그럼 홍콩 시위를 응원한다고 말했던건 뭐야 위구르인들의 독립에 찬성한다니 환영이야시진핑의 독재에 반대한다는 내용의 한글로 쓴 연설 잘 들었어 이제는 행동으로 옮길 때야 천안문 관련 활동은 잘 되어가고 있어 당국에 걸리지 않도록 조심해 일이 끝나면 핸드폰은 파기하도록 해,171
GTA5,1,2018-07-16,온라인 대결구도 핵쟁이 vs 핵쟁이 일반유저 vs 핵쟁이 락스타 vs 핵쟁이양학하는 구도 핵쟁이 일반유저 핵쟁이 락스타 더비싼핵 싸구려무료핵 락스타 게임전체유저핵쓰는놈은 핵쓴놈끼리 서로알아보고 서로맞다이뜨고 핵쟁이는 애들을 집으로 소환한다음 게임도못하게 갈군다 헬조선식겜 클럽이 업데이트 되었는데클럽에서 하는짓은 돈벌고 벽보 붙이고 탈옥한번하면 얻을 금액을 금고에서 꺼내는것 뿐이다 유일하게 클럽에서 노는낙은 비싼 샴페인 한잔마시고 음주운전 하는것이다 쓸데없이 긴 로딩은 SSD를 달아도 해결되지 않는다 참고해야한다 긴 로딩이래서 모드떡칠 베데스다 생각하면 안댄다 그거보다 더길다 멀티를 하다가 싱글을 할 시 싱글에 평화로움과 착한 NPC 들의 이웃같은 정이넘치는 구수한 언어들을 느낄수 있으나 이미 멀티에 익숙해져버린 뇌 NTR을 당했는지 싱글의 작은 행복에 만족하지 못하고 좀 더 큰 자극을 원해버려 멀티로 다시돌아오게 된다 이미 온몸 구석구석 아파트에서 마리화나랑 진을 한잔걸치고 운전하는 그 재미와 습격 개트롤짱깨들의 우람한 핵에 당해서 느껴버리는 자신을 발견한다 ,164
GTA5,1,2018-11-21,현실에서나 게임에서나 망할 짱깨들은 도움이 안된다,170
GTA5,1,2020-05-16,온라인 로딩 속도가 트레버 떡치는 컷신보다 김,256
GTA5,0,2021-11-02,재밌는데 핵 잡아라,115
GTA5,1,2019-09-10,플레이 시간이 모든걸 말해줍니다 ,122
GTA5,1,2017-12-08,자본주의가 뭔지 알려주는 유익한 경제게임,132
GTA5,0,2020-01-25,에 라이 그 나라 핵쟁이들 좀 잡아라,189
GTA5,1,2021-05-07,니가 박아놓곤 왜 별 뜨는데 ,159
GTA5,1,2019-12-22,시간이 참 잘가는 게임 로딩이 길어서 ,105
GTA5,1,2020-02-15,gta 갖고와라,108
GTA5,1,2020-02-28,돈 많으면 개꿀잼임 돈 없으면 좆노잼임,123
GTA5,1,2019-09-25, 가격 정가 줘도 좋음 세일까지 존버 세일까지 존버 이상 세일까지 존버 그래픽 개아름다움 아주 좋음 좋음 그냥 그럼 별로임 개후짐 사운드 개황홀함 아주 좋음 좋음 그냥 그럼 별로임 개귀갱 사양 초고사양 컴 고사양 컴 적당한 컴 가정용 컴 노트북 지뢰찾기용 컴 한글화 한글화가 되어있음 한글화가 되어있는데 애매함 유저 한글화가 되어있음 유저 한글화가 되어있는데 애매함 비한글화지만 지장 없음 비한글화로 플레이가 어려움 난이도 소울류 수준 어려움 적당함 쉬움 유아용 수준 스토리 영화화 쌉가능 재미있음 평범함 별로임 개후짐 플레이타임 시간 이상 시간 이상 시간 이상 시간 이상 시간 가량 시간 이하 버그 전혀 없음 개 있음 자주 보임 꽤 많음 플레이 불가 수준 게임 자체가 버그 덩어리 게임성 완벽에 가까움 굉장히 재미있음 재미있음 적당했음 별로임 쓰레기임 핵 폐기물 수준,111
GTA5,0,2016-12-25,이게임의 장점이 매우 현실적입니다 정말 실사랑 구별이 불가능할 정도입니다 그래픽도 현실적이고 각종 세세한 퀄리티 까지 현실적이고 심지어는 힘있는 기업에서 힘없는 병신 유저 들을 무고벤으로 유저들을 개 돼지새끼들로 본다는것도 존나 현실적입니다,329
